iter	RMSE
0	62.99779686
1	60.7157333
2	58.78392831
3	57.08219846
4	55.69072676
5	54.48114647
6	53.41529223
7	52.33636648
8	51.38252534
9	50.69921107
10	50.03303149
11	49.42028267
12	48.90619656
13	48.41491171
14	47.96122189
15	47.59921981
16	47.26204923
17	46.8504947
18	46.55484547
19	46.30821627
20	46.07179744
21	45.86853377
22	45.59776098
23	45.36549071
24	45.15136433
25	44.87352919
26	44.70098181
27	44.56280585
28	44.42657307
29	44.18101395
30	44.03381394
31	43.8589349
32	43.74164281
33	43.63789906
34	43.40644725
35	43.32557952
36	43.22075685
37	43.1182111
38	42.92390855
39	42.83522897
40	42.72136216
41	42.64231931
42	42.56623108
43	42.45527699
44	42.3989391
45	42.30556407
46	42.20495389
47	42.14759846
48	42.05785143
49	41.98759924
50	41.92978326
51	41.87276162
52	41.77650674
53	41.62298403
54	41.47166675
55	41.3912183
56	41.29095259
57	41.16564018
58	41.05929067
59	40.94931394
60	40.91470409
61	40.8518068
62	40.81958642
63	40.73228839
64	40.67378574
65	40.61439546
66	40.52677814
67	40.45890096
68	40.39757048
69	40.35172049
70	40.24164201
71	40.18908484
72	40.12682602
73	40.05826138
74	40.00428534
75	39.937378
76	39.87618317
77	39.82965346
78	39.79006602
79	39.69524124
80	39.64030343
81	39.57894547
82	39.49998807
83	39.45975522
84	39.4148062
85	39.33642695
86	39.27429886
87	39.25894186
88	39.21375073
89	39.18037325
90	39.0891166
91	39.05682362
92	39.00058495
93	38.95709808
94	38.91532983
95	38.87222829
96	38.83540408
97	38.79588695
98	38.75781881
99	38.73338823
100	38.68351389
101	38.66463735
102	38.63784966
103	38.60195153
104	38.57769981
105	38.54320623
106	38.5098385
107	38.46574093
108	38.44421431
109	38.40253048
110	38.373654
111	38.34132637
112	38.30981217
113	38.25454696
114	38.22260213
115	38.18491258
116	38.1478474
117	38.09833669
118	38.06732536
119	38.03142253
120	37.98527503
121	37.94217735
122	37.89334365
123	37.85577928
124	37.82085638
125	37.77073413
126	37.73494141
127	37.69600594
128	37.6591664
129	37.63618566
130	37.61869092
131	37.59472028
132	37.55905435
133	37.52921186
134	37.50550208
135	37.48214435
136	37.46247593
137	37.45113871
138	37.42345051
139	37.39473811
140	37.37358487
141	37.35704712
142	37.34473344
143	37.32375798
144	37.2976414
145	37.2670828
146	37.24449733
147	37.22098787
148	37.20698097
149	37.20023461
150	37.17837152
151	37.15922463
152	37.13210141
153	37.10116088
154	37.08534829
155	37.07009017
156	37.04206033
157	37.02259279
158	36.98655113
159	36.9613262
160	36.93268227
161	36.88967011
162	36.87450841
163	36.84903565
164	36.81973361
165	36.80516013
166	36.78369178
167	36.76741885
168	36.74734369
169	36.71279645
170	36.68794759
171	36.67207676
172	36.63613085
173	36.60397353
174	36.5858033
175	36.56865236
176	36.54900223
177	36.53303816
178	36.5075243
179	36.48629241
180	36.46982143
181	36.45631472
182	36.44538371
183	36.43306817
184	36.40824029
185	36.38876871
186	36.35750562
187	36.33594926
188	36.31714876
189	36.29419401
190	36.27541706
191	36.26464037
192	36.23899972
193	36.22738822
194	36.20798912
195	36.1919378
196	36.16538178
197	36.14661982
198	36.13070948
199	36.11523124
200	36.09948433
201	36.07991489
202	36.06735012
203	36.050504
204	36.04252972
205	36.02235044
206	36.01302332
207	35.99992185
208	35.98314842
209	35.96786092
210	35.94733826
211	35.93528181
212	35.92457716
213	35.90795437
214	35.89797909
215	35.8845876
216	35.87157172
217	35.86129979
218	35.83486697
219	35.81828983
220	35.80563556
221	35.79248695
222	35.75301332
223	35.74148176
224	35.72658202
225	35.71601002
226	35.70953721
227	35.69808507
228	35.6876562
229	35.67019622
230	35.65551136
231	35.62209078
232	35.59973346
233	35.58563259
234	35.57727583
235	35.56649199
236	35.55544981
237	35.53947135
238	35.51906611
239	35.50465288
240	35.48885124
241	35.479793
242	35.464096
243	35.44103266
244	35.43066843
245	35.41965954
246	35.41117394
247	35.40062881
248	35.39122474
249	35.36940762
250	35.35824202
251	35.34320201
252	35.33372821
253	35.31561816
254	35.30716155
255	35.2969704
256	35.29050522
257	35.27467978
258	35.26524766
259	35.25121357
260	35.23958367
261	35.22983629
262	35.20970575
263	35.19739499
264	35.19462844
265	35.1842422
266	35.16586681
267	35.15770268
268	35.14219203
269	35.13530783
270	35.12650139
271	35.11472523
272	35.10590476
273	35.09681128
274	35.08461435
275	35.07677433
276	35.06382761
277	35.05343836
278	35.03605447
279	35.0286924
280	35.01697956
281	35.00196253
282	34.99619885
283	34.98643736
284	34.97947735
285	34.96543245
286	34.95738264
287	34.95151341
288	34.94216701
289	34.93595794
290	34.90857098
291	34.90157749
292	34.89492453
293	34.88805353
294	34.88006635
295	34.86310732
296	34.8581772
297	34.84714411
298	34.8383457
299	34.83118323
300	34.82425506
301	34.81706447
302	34.81128525
303	34.80868914
304	34.79686289
305	34.7898097
306	34.77648763
307	34.77404011
308	34.76433784
309	34.75859136
310	34.74870389
311	34.74023788
312	34.73317295
313	34.72412476
314	34.71768658
315	34.71299734
316	34.70625524
317	34.69853149
318	34.68747615
319	34.68302176
320	34.66872845
321	34.66123258
322	34.65456671
323	34.6475366
324	34.64231457
325	34.63297683
326	34.62363957
327	34.6167925
328	34.61079031
329	34.60468027
330	34.59980121
331	34.5909951
332	34.5868822
333	34.58129382
334	34.57135372
335	34.56460741
336	34.55689983
337	34.55212192
338	34.54517265
339	34.53882109
340	34.53066004
341	34.51895606
342	34.51415108
343	34.51135547
344	34.50319905
345	34.49289626
346	34.48668772
347	34.47828355
348	34.47384479
349	34.46622118
350	34.45597376
351	34.45166239
352	34.44287031
353	34.43642864
354	34.43114849
355	34.42268791
356	34.41675439
357	34.40928912
358	34.40385813
359	34.40061443
360	34.39233832
361	34.38767559
362	34.38044584
363	34.37238842
364	34.36724176
365	34.35854074
366	34.35150379
367	34.34231518
368	34.3352923
369	34.32653158
370	34.3197768
371	34.31355265
372	34.30225492
373	34.28908852
374	34.28553967
375	34.27751441
376	34.27020373
377	34.26470394
378	34.26020534
379	34.25041144
380	34.24724282
381	34.23977055
382	34.23399388
383	34.22978795
384	34.22647252
385	34.21943601
386	34.20841671
387	34.20362194
388	34.19704704
389	34.19363393
390	34.18468941
391	34.17688
392	34.1717648
393	34.165803
394	34.16210434
395	34.15593074
